,hour,day_of_week,month,is_weekend,forecast_deviation,forecast_error_ma,da_price,id_spread,price_trend,imbalance_price_lag1,irradiance,cloud_cover,temperature,liquidity_ratio,price_volatility,generation_volatility
hour,1.0,-0.0012204388945642765,-0.0019243714749712867,-0.0007500751863750573,0.004377890484789562,-0.0027651122658470867,0.08744036285023947,-0.006037767806044312,0.4089782383235819,0.13228806468923485,0.04008108078092963,-0.00015335882486129104,-0.42797820679342263,0.012713127391003306,-0.006643413833729898,-0.008716613415415847
day_of_week,-0.0012204388945642765,1.0,0.00904811453561586,0.7849801171340142,-0.008732904496960606,0.020060609271953977,-0.13018290090462412,0.03990935731373216,-0.07362730304431322,-0.12106962057025293,0.0016782426793368744,-0.004623761502176509,-0.0008971462611784308,-0.02841391774066359,-0.19828391911973647,-0.005467770107199254
month,-0.0019243714749712867,0.00904811453561586,1.0,0.00284386619761605,0.006001977157900871,-0.09467918617860951,-0.015023675657184396,-0.007257795449022602,-0.004900071521749413,-0.015410667505347832,-0.316034292568119,0.04126887760135316,0.652422833729751,0.004372612982444904,-0.11238301188676621,-0.9472307844625156
is_weekend,-0.0007500751863750573,0.7849801171340142,0.00284386619761605,1.0,0.015004450931982227,-0.021637761611410053,-0.1654893772472923,0.037110864537437095,-0.039139720991180266,-0.15700044976680091,-0.002088587926585652,0.006816651946760713,-0.004914852395151656,-0.011948077734167126,-0.17116841503321042,-0.005733819800758972
forecast_deviation,0.004377890484789562,-0.008732904496960606,0.006001977157900871,0.015004450931982227,1.0,0.02537031105243512,-0.011397272529176763,-0.004719512317770753,0.03756410525335549,-0.0030109980847885195,0.01427768534863702,-0.010245341397676747,0.003381065677362086,-0.0006247469102605091,0.0030010591270514583,0.0005612297672297651
forecast_error_ma,-0.0027651122658470867,0.020060609271953977,-0.09467918617860951,-0.021637761611410053,0.02537031105243512,1.0,-0.004604814406111981,-0.00886473031872649,-0.025473955631326626,-0.002482702897541097,0.01754973831918168,0.00042424480602800974,-0.06240027717687862,0.0004923034740685727,0.01342470542926343,0.07962475276255405
da_price,0.08744036285023947,-0.13018290090462412,-0.015023675657184396,-0.1654893772472923,-0.011397272529176763,-0.004604814406111981,1.0,0.00037696493718490767,0.1818980951984014,0.9604025510961544,0.012405175158233741,0.013901340547522657,0.017882466923054733,-0.00800685860661683,0.5907060417243546,0.1214441490498122
id_spread,-0.006037767806044312,0.03990935731373216,-0.007257795449022602,0.037110864537437095,-0.004719512317770753,-0.00886473031872649,0.00037696493718490767,1.0,-0.016496104978118428,0.00016445149958450468,-0.029719403073466835,0.038115535202365665,0.009685679369706808,-0.03546910556751493,-0.015632696580686258,0.01375435615541581
price_trend,0.4089782383235819,-0.07362730304431322,-0.004900071521749413,-0.039139720991180266,0.03756410525335549,-0.025473955631326626,0.1818980951984014,-0.016496104978118428,1.0,0.260626265829287,0.2357212437295114,-0.006709417683024787,-0.14214138578541566,0.0027566555170108705,-0.023329289474508755,-0.018125516666752956
imbalance_price_lag1,0.13228806468923485,-0.12106962057025293,-0.015410667505347832,-0.15700044976680091,-0.0030109980847885195,-0.002482702897541097,0.9604025510961544,0.00016445149958450468,0.260626265829287,1.0,0.004733707689955884,0.01589314275461031,-0.0029455665196932534,-0.017564936897610222,0.5907915304195293,0.12067476891889369
irradiance,0.04008108078092963,0.0016782426793368744,-0.316034292568119,-0.002088587926585652,0.01427768534863702,0.01754973831918168,0.012405175158233741,-0.029719403073466835,0.2357212437295114,0.004733707689955884,1.0,-0.22294152619725333,-0.20390393958670208,-0.009409929978920017,0.08942906108374195,0.32335441852622204
cloud_cover,-0.00015335882486129104,-0.004623761502176509,0.04126887760135316,0.006816651946760713,-0.010245341397676747,0.00042424480602800974,0.013901340547522657,0.038115535202365665,-0.006709417683024787,0.01589314275461031,-0.22294152619725333,1.0,0.029362109758489994,0.028676276770327195,0.0139290571633054,-0.036579542623513456
temperature,-0.42797820679342263,-0.0008971462611784308,0.652422833729751,-0.004914852395151656,0.003381065677362086,-0.06240027717687862,0.017882466923054733,0.009685679369706808,-0.14214138578541566,-0.0029455665196932534,-0.20390393958670208,0.029362109758489994,1.0,-0.024833562647870355,-0.013992436774404305,-0.555770359899299
liquidity_ratio,0.012713127391003306,-0.02841391774066359,0.004372612982444904,-0.011948077734167126,-0.0006247469102605091,0.0004923034740685727,-0.00800685860661683,-0.03546910556751493,0.0027566555170108705,-0.017564936897610222,-0.009409929978920017,0.028676276770327195,-0.024833562647870355,1.0,-0.021747510237821628,-0.009709430938452994
price_volatility,-0.006643413833729898,-0.19828391911973647,-0.11238301188676621,-0.17116841503321042,0.0030010591270514583,0.01342470542926343,0.5907060417243546,-0.015632696580686258,-0.023329289474508755,0.5907915304195293,0.08942906108374195,0.0139290571633054,-0.013992436774404305,-0.021747510237821628,1.0,0.243994204039874
generation_volatility,-0.008716613415415847,-0.005467770107199254,-0.9472307844625156,-0.005733819800758972,0.0005612297672297651,0.07962475276255405,0.1214441490498122,0.01375435615541581,-0.018125516666752956,0.12067476891889369,0.32335441852622204,-0.036579542623513456,-0.555770359899299,-0.009709430938452994,0.243994204039874,1.0
